record_id,source,narrative,label_count,lsr_label_provenance,lsr_bypassing_safety_controls,lsr_confined_space,lsr_driving,lsr_energy_isolation,lsr_hot_work,lsr_line_of_fire,lsr_safe_mechanical_lifting,lsr_toxic_gas___hazardous_substance,lsr_working_at_height
OILPS_IOGP_HPE_0001,IOGP_HPE,"On Thursday March 13th, 2025, the crew change bus had a road accident. It was 18h30 and after a heavy rain at the 
time of the incident.
The bus driver was driving too close to the road edge to avoid potholes of the road section. While doing so a part of 
the road edge collapsed under the right front bus tire making the bus end its trajectory on the pipelines on the side 
of the road with 28 pax on board.
Immediate action: 
• An alcohol test was performed (negative).
• The TAG removed. 
• Rearranged work because of restricted mobility due to ankle sprain.",0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
OILPS_IOGP_HPE_0002,IOGP_HPE,"At around 4am on 1st of May, the two men on the crane were assigned to a new location. The operation involved 
depositing the counterweights. Following a counter-order from the supervisor, they had to carry out a final lift 
before going on to the new location. The spider chains were replaced on the counterweights. As the chains are 
lifted, one of the hooks gets caught in the guide of the counterweight. When the chains come off, they have a spring 
effect. The banksman can't reasonably control three of them and the fourth spins around him with his back lower. 
The spider chain hit the banksman at the back. The IP received pain killer treatment before transferring to hospital 
by chopper. The IP suffered a permanent impairment injury.",0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
OILPS_IOGP_HPE_0003,IOGP_HPE,"On 18 August 2025, a team was installing a 6-inch pipe over a 35-metre section between two lines. This pipe was 
also to be used during WO operations. During the operation, the team separated a 6-inch pipe from a 2-inch pipe, 
both of which had previously been tied together with cords. During the lifting phase, the cords were gradually cut 
to separate the two pipes. When the third cord was cut, the tension accumulated in the 6-inch pipe, which was 
bent at the time, was suddenly released. The pipe rebounded and struck an operator's right leg between the ankle 
and knee, causing an open fracture. The supervisor was immediately informed, the control room was alerted, and 
emergency procedures were quickly implemented.",0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
OILPS_IOGP_HPE_0004,IOGP_HPE,"On January 19, 2025, during restart attempts of the HP-A Gas Compressor following corrective maintenance, 
an unusually loud noise was heard from the exhaust. Seconds later, the fire alarm was triggered, and it was 
observed that the exhaust structure had fallen off. Technicians in the vicinity immediately pressed the compressor’s 
emergency stop button and evacuated the facility. Simultaneously, the emergency response team was activated, and 
the on-scene commander initiated a full facility shutdown using a manual call point near the compressor building. 
Once the source of the loud noise was confirmed to be the HP-A compressor, with the exhaust lying on the ground, 
the area was cordoned off, and an investigation was launched. The compressor was manually shut down, and the 
ESD-1 emergency stop was activated.",0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
OILPS_IOGP_HPE_0005,IOGP_HPE,"During a heavy rainstorm, two aluminium composite panels (component of the external cladding material for the 
Office building) dislodged and dropped. The two (2) panels, each weighing 9.8kgs and measuring 1.11x1.49ms, 
dropped from about a height of 22.35 meters. The fallen panels were found Infront of the South Wing Power room, 
and the affected area was promptly cordoned off to prevent further hazards. Additionally, multiple panels were 
observed hanging loosely, posing a potential safety risk to occupants and visitors.",0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
OILPS_IOGP_HPE_0006,IOGP_HPE,"At about 02:21hrs, while rig crew was picking 4” drill pipe, a single drill pipe was picked from Catwalk to the rig 
floor with Air winch tugger. The IP removed thread protector from the single pipe while another floorman attempted 
to guide the pipe into the mouse hole. The pipe missed the mouse hole, hit the rig floor and also hit the IP on his 
right ear and shoulder. IP was move to Clinic.",0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
OILPS_IOGP_HPE_0007,IOGP_HPE,"At about 10:30 hours, a company-owned light vehicle in a security convoy travelling veered off the road and collided 
with an electric pole. The driver and accompanying customer were safely evacuated and transported to the Clinic for 
appropriate medical evaluation / attention.",0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
OILPS_IOGP_HPE_0008,IOGP_HPE,"On 3rd June 2025, at about 2:15pm, during a test digging on a 6"" test line right of way, the excavator bucket made 
contact with a buried 11KVA composite electrical cable. The incident resulted in a dent/superficial cut on the cable.",0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
OILPS_IOGP_HPE_0009,IOGP_HPE,Release of propane from a temp. storage tank.,0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
OILPS_IOGP_HPE_0010,IOGP_HPE,"A 9 kg metal plate detached from the conveyor railway and fell approximately 6.5–10 m onto the deck below.
No personnel were struck; however, dropped-object energy indicated fatality potential.
The plate was originally installed as a dropped-object prevention measure. Over time it deteriorated and was 
displaced due to a misaligned and stretched conveyor belt, which pushed the plate out of position.
Operations on the starboard conveyor were stopped, the area below was barricaded, and a rope-access inspection 
of similar installations was initiated.",0,SOURCE_GROUNDED,0,0,0,0,0,0,0,0,0
